,fit_time,score_time,estimator,test_f1_macro,train_f1_macro,test_precision_macro,train_precision_macro,test_recall_macro,train_recall_macro,test_accuracy,train_accuracy,training_accuracy
Fold 1,0.004144906997680664,0.040834903717041016,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.8638239958012219,1.0,0.8905840842154376,1.0,0.867312075169932,1.0,0.9036544850498339,1.0,1.0
Fold 2,0.0028319358825683594,0.015014171600341797,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.8802289404287033,1.0,0.8897589950125393,1.0,0.8791694012050353,1.0,0.9069767441860465,1.0,1.0
Fold 3,0.004724979400634766,0.02431321144104004,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.8815997347628404,1.0,0.8921746514697834,1.0,0.8813720742534301,1.0,0.91,1.0,1.0
Fold 4,0.003445148468017578,0.015721797943115234,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.8948284690220174,1.0,0.9048694029850746,1.0,0.8942857142857144,1.0,0.92,1.0,1.0
Fold 5,0.0028018951416015625,0.013155937194824219,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.8693542568542568,1.0,0.8951040253279059,1.0,0.8723244552058113,1.0,0.9066666666666666,1.0,1.0
