,fit_time,score_time,estimator,test_f1_macro,train_f1_macro,test_precision_macro,train_precision_macro,test_recall_macro,train_recall_macro,test_accuracy,train_accuracy,training_accuracy
Fold 1,0.003782033920288086,0.03991889953613281,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.9426734970233956,1.0,0.9431134792626729,1.0,0.9426640033641716,1.0,0.9534883720930233,1.0,1.0
Fold 2,0.002872943878173828,0.013899087905883789,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.972422409845931,1.0,0.9720288155924071,1.0,0.9728602007472873,1.0,0.9767441860465116,1.0,1.0
Fold 3,0.0029249191284179688,0.013019084930419922,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.9631403929692901,1.0,0.9673027049098915,1.0,0.9607451905885718,1.0,0.97,1.0,1.0
Fold 4,0.0027756690979003906,0.013384342193603516,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.9496408165320043,1.0,0.9495003188026445,1.0,0.950500403551251,1.0,0.9566666666666667,1.0,1.0
Fold 5,0.002864837646484375,0.012962102890014648,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.9636851813896289,1.0,0.9675986842105264,1.0,0.9613155770782889,1.0,0.97,1.0,1.0
