,fit_time,score_time,estimator,test_f1_macro,train_f1_macro,test_precision_macro,train_precision_macro,test_recall_macro,train_recall_macro,test_accuracy,train_accuracy,training_accuracy
Fold 1,0.0034842491149902344,0.03515958786010742,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.26069396600854033,1.0,0.27120060148246206,1.0,0.26702848433617665,1.0,0.2691029900332226,1.0,1.0
Fold 2,0.0032501220703125,0.022462844848632812,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.24116919006281454,1.0,0.24732587971156678,1.0,0.2483420425728118,1.0,0.25249169435215946,1.0,1.0
Fold 3,0.0029578208923339844,0.017119169235229492,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.2214497045344569,1.0,0.22834798748260285,1.0,0.22904531366069827,1.0,0.23666666666666666,1.0,1.0
Fold 4,0.002888917922973633,0.015534162521362305,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.2559824560642594,1.0,0.26009940913787066,1.0,0.2655469530469531,1.0,0.27,1.0,1.0
Fold 5,0.002797842025756836,0.014486074447631836,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.2323853041030381,1.0,0.23517010429965896,1.0,0.24205986321370934,1.0,0.24333333333333335,1.0,1.0
