,fit_time,score_time,estimator,test_f1_macro,train_f1_macro,test_precision_macro,train_precision_macro,test_recall_macro,train_recall_macro,test_accuracy,train_accuracy,training_accuracy
Fold 1,0.0033240318298339844,0.03438091278076172,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.30808400808689124,1.0,0.31689765739539494,1.0,0.3123514306206614,1.0,0.30564784053156147,1.0,1.0
Fold 2,0.0030357837677001953,0.014693975448608398,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.3449230204182652,1.0,0.37458114409471877,1.0,0.33996676400522563,1.0,0.3388704318936877,1.0,1.0
Fold 3,0.003027200698852539,0.014573812484741211,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.3246331187674253,1.0,0.3550840091281268,1.0,0.3328411972642742,1.0,0.3333333333333333,1.0,1.0
Fold 4,0.0030901432037353516,0.014628887176513672,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.30458820541576737,1.0,0.30903210037825424,1.0,0.31583576679730524,1.0,0.31,1.0,1.0
Fold 5,0.0029850006103515625,0.01453089714050293,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.2865356556959372,1.0,0.2925284616550394,1.0,0.2907262609185686,1.0,0.29,1.0,1.0
