,fit_time,score_time,estimator,test_f1_macro,train_f1_macro,test_precision_macro,train_precision_macro,test_recall_macro,train_recall_macro,test_accuracy,train_accuracy,training_accuracy
Fold 1,0.004390239715576172,0.03593087196350098,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.5877674194646955,1.0,0.6011618126719936,1.0,0.5955525243986782,1.0,0.5946843853820598,1.0,1.0
Fold 2,0.0029630661010742188,0.020229816436767578,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.553357596526317,1.0,0.5782914201183431,1.0,0.552273367657983,1.0,0.5548172757475083,1.0,1.0
Fold 3,0.003860950469970703,0.01877903938293457,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.6587860460695734,1.0,0.6755576688268997,1.0,0.6648463715771408,1.0,0.6633333333333333,1.0,1.0
Fold 4,0.003815889358520508,0.018162965774536133,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.5769749505582348,1.0,0.6039368719515777,1.0,0.5830144214759599,1.0,0.5833333333333334,1.0,1.0
Fold 5,0.0029540061950683594,0.01607227325439453,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.5949692785278434,1.0,0.6177049822977424,1.0,0.5987499679807372,1.0,0.6033333333333334,1.0,1.0
