,fit_time,score_time,estimator,test_f1_macro,train_f1_macro,test_precision_macro,train_precision_macro,test_recall_macro,train_recall_macro,test_accuracy,train_accuracy,training_accuracy
Fold 1,0.0037169456481933594,0.04381299018859863,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.2194205319833575,1.0,0.22229297851469795,1.0,0.2329599887292195,1.0,0.23255813953488372,1.0,1.0
Fold 2,0.0032601356506347656,0.023155927658081055,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.22703140670587338,1.0,0.22867834763077682,1.0,0.23582699351930123,1.0,0.23588039867109634,1.0,1.0
Fold 3,0.0029380321502685547,0.017827749252319336,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.21367848227785327,1.0,0.21169469505382815,1.0,0.22476049591434208,1.0,0.23333333333333334,1.0,1.0
Fold 4,0.0033080577850341797,0.01576089859008789,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.2484676291717306,1.0,0.24757942849006198,1.0,0.25458675939445174,1.0,0.25666666666666665,1.0,1.0
Fold 5,0.003052234649658203,0.017917871475219727,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.2002875058697097,1.0,0.19796607513176934,1.0,0.20857091626322394,1.0,0.21333333333333335,1.0,1.0
