,fit_time,score_time,estimator,test_f1_macro,train_f1_macro,test_precision_macro,train_precision_macro,test_recall_macro,train_recall_macro,test_accuracy,train_accuracy,training_accuracy
Fold 1,0.004223823547363281,0.04410123825073242,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.8703187364837021,1.0,0.8823431561761733,1.0,0.8712622192502311,1.0,0.9036544850498339,1.0,1.0
Fold 2,0.003963947296142578,0.022943973541259766,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.8733309258484825,1.0,0.8741047297297297,1.0,0.8735330350618373,1.0,0.9003322259136213,1.0,1.0
Fold 3,0.004039764404296875,0.017472028732299805,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.8587841900113091,1.0,0.873194468832309,1.0,0.8619854721549638,1.0,0.8966666666666666,1.0,1.0
Fold 4,0.0027189254760742188,0.015552997589111328,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.9065857039292446,1.0,0.9125145378568715,1.0,0.904955609362389,1.0,0.9266666666666666,1.0,1.0
Fold 5,0.002819061279296875,0.01311492919921875,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.884748949579832,1.0,0.8913155132757197,1.0,0.8840597255851492,1.0,0.91,1.0,1.0
