,fit_time,score_time,estimator,test_f1_macro,train_f1_macro,test_precision_macro,train_precision_macro,test_recall_macro,train_recall_macro,test_accuracy,train_accuracy,training_accuracy
Fold 1,0.003298044204711914,0.035585880279541016,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.5151755627463143,1.0,0.5298452579412332,1.0,0.5225764619995389,1.0,0.521594684385382,1.0,1.0
Fold 2,0.0029702186584472656,0.016449689865112305,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.4535950230872125,1.0,0.4697480053948856,1.0,0.4522727272727272,1.0,0.45182724252491696,1.0,1.0
Fold 3,0.0029299259185791016,0.016558170318603516,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.5411192395447384,1.0,0.547968484506946,1.0,0.5473010963395579,1.0,0.5466666666666666,1.0,1.0
Fold 4,0.0029249191284179688,0.015700101852416992,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.48869570347212454,1.0,0.5053492503897362,1.0,0.49059626271164736,1.0,0.49333333333333335,1.0,1.0
Fold 5,0.003644227981567383,0.03183698654174805,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.4583218512425974,1.0,0.49731118240733624,1.0,0.45992789262020034,1.0,0.4666666666666667,1.0,1.0
