,fit_time,score_time,estimator,test_f1_macro,train_f1_macro,test_precision_macro,train_precision_macro,test_recall_macro,train_recall_macro,test_accuracy,train_accuracy,training_accuracy
Fold 1,0.00470280647277832,0.05356407165527344,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.9466639481915738,1.0,0.9477230801880632,1.0,0.9461122792262406,1.0,0.9568106312292359,1.0,1.0
Fold 2,0.002779245376586914,0.02071404457092285,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.972422409845931,1.0,0.9720288155924071,1.0,0.9728602007472873,1.0,0.9767441860465116,1.0,1.0
Fold 3,0.0028769969940185547,0.01389622688293457,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.967522999239123,1.0,0.9706543601639097,1.0,0.9655070953504765,1.0,0.9733333333333334,1.0,1.0
Fold 4,0.0027310848236083984,0.013741016387939453,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.9496408165320043,1.0,0.9495003188026445,1.0,0.950500403551251,1.0,0.9566666666666667,1.0,1.0
Fold 5,0.0029158592224121094,0.015041112899780273,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.9594054853464457,1.0,0.9645738045738046,1.0,0.9565536723163841,1.0,0.9666666666666667,1.0,1.0
