,fit_time,score_time,estimator,test_f1_macro,train_f1_macro,test_precision_macro,train_precision_macro,test_recall_macro,train_recall_macro,test_accuracy,train_accuracy,training_accuracy
Fold 1,0.0036721229553222656,0.03264498710632324,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.8693909339069881,1.0,0.8937438905180841,1.0,0.872020536612941,1.0,0.9069767441860465,1.0,1.0
Fold 2,0.002846956253051758,0.013850212097167969,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.8645734516086424,1.0,0.8777533919248459,1.0,0.8647048422010506,1.0,0.8970099667774086,1.0,1.0
Fold 3,0.0029478073120117188,0.013556957244873047,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.8616947800246646,1.0,0.8728874798711755,1.0,0.8636965294592412,1.0,0.8966666666666666,1.0,1.0
Fold 4,0.002853870391845703,0.013150930404663086,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.8899025854389737,1.0,0.9012613325943228,1.0,0.8894673123486683,1.0,0.9166666666666666,1.0,1.0
Fold 5,0.0029103755950927734,0.013209819793701172,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.8538296679995152,1.0,0.8782433732831774,1.0,0.8594673123486682,1.0,0.8966666666666666,1.0,1.0
