,fit_time,score_time,estimator,test_f1_macro,train_f1_macro,test_precision_macro,train_precision_macro,test_recall_macro,train_recall_macro,test_accuracy,train_accuracy,training_accuracy
Fold 1,0.003299713134765625,0.03601717948913574,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.1973801595334155,1.0,0.19467007351622737,1.0,0.20773809523809522,1.0,0.2026578073089701,1.0,1.0
Fold 2,0.003075838088989258,0.01504206657409668,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.22901238269153248,1.0,0.24003443138058525,1.0,0.23473609723609723,1.0,0.23588039867109634,1.0,1.0
Fold 3,0.003072977066040039,0.015033721923828125,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.18943567298838046,1.0,0.19501561786629656,1.0,0.19338738184892032,1.0,0.19333333333333333,1.0,1.0
Fold 4,0.0032639503479003906,0.01452493667602539,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.1600141132720869,1.0,0.18472206212590828,1.0,0.16503240349394194,1.0,0.16,1.0,1.0
Fold 5,0.0032057762145996094,0.017256975173950195,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.17230488533476848,1.0,0.17469477778182232,1.0,0.17872512103281332,1.0,0.18,1.0,1.0
