,fit_time,score_time,estimator,test_f1_macro,train_f1_macro,test_precision_macro,train_precision_macro,test_recall_macro,train_recall_macro,test_accuracy,train_accuracy,training_accuracy
Fold 1,0.0038437843322753906,0.03688812255859375,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.189192244110362,1.0,0.1906186856130295,1.0,0.19305630267168727,1.0,0.19269102990033224,1.0,1.0
Fold 2,0.0046498775482177734,0.025677204132080078,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.21717080733331973,1.0,0.22843038057970186,1.0,0.22112791055098752,1.0,0.21926910299003322,1.0,1.0
Fold 3,0.0029418468475341797,0.0193941593170166,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.2009545250768834,1.0,0.21205605672145322,1.0,0.20529438510207745,1.0,0.20666666666666667,1.0,1.0
Fold 4,0.0031881332397460938,0.01547098159790039,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.18746410763863658,1.0,0.18390408297082506,1.0,0.1980276134122288,1.0,0.19666666666666666,1.0,1.0
Fold 5,0.003026247024536133,0.014831781387329102,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.19149152027125046,1.0,0.18829450464065844,1.0,0.20435718128025823,1.0,0.20666666666666667,1.0,1.0
