,fit_time,score_time,estimator,test_f1_macro,train_f1_macro,test_precision_macro,train_precision_macro,test_recall_macro,train_recall_macro,test_accuracy,train_accuracy,training_accuracy
Fold 1,0.003618001937866211,0.0422971248626709,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.7932844555103007,1.0,0.8016288610038609,1.0,0.7948252078478953,1.0,0.8338870431893688,1.0,1.0
Fold 2,0.0029981136322021484,0.020020008087158203,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.7986583446331612,1.0,0.804483415296788,1.0,0.8011126583849218,1.0,0.840531561461794,1.0,1.0
Fold 3,0.0036711692810058594,0.016710758209228516,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.8212177857869702,1.0,0.8563715378189063,1.0,0.8243664245359161,1.0,0.8633333333333333,1.0,1.0
Fold 4,0.0031201839447021484,0.015984773635864258,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.8379254574419278,1.0,0.862630775574529,1.0,0.836634382566586,1.0,0.87,1.0,1.0
Fold 5,0.0040950775146484375,0.01599287986755371,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.7991522896113954,1.0,0.829297226662874,1.0,0.8046731234866827,1.0,0.8466666666666667,1.0,1.0
