,fit_time,score_time,estimator,test_f1_macro,train_f1_macro,test_precision_macro,train_precision_macro,test_recall_macro,train_recall_macro,test_accuracy,train_accuracy,training_accuracy
Fold 1,0.004982948303222656,1.3574719429016113,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.2482619936098637,1.0,0.25260945756897174,1.0,0.2506461487230718,1.0,0.24916943521594684,1.0,1.0
Fold 2,0.0033860206604003906,0.014983892440795898,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.22427382560667622,1.0,0.22241287372976334,1.0,0.2363476267322421,1.0,0.23920265780730898,1.0,1.0
Fold 3,0.003287076950073242,0.014301776885986328,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.26531889894939137,1.0,0.26853979353979357,1.0,0.275105663567202,1.0,0.27666666666666667,1.0,1.0
Fold 4,0.0028967857360839844,0.015087127685546875,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.23877344850085053,1.0,0.2439266395997165,1.0,0.24645386664617433,1.0,0.24333333333333335,1.0,1.0
Fold 5,0.0028159618377685547,0.01526021957397461,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.2539822838734213,1.0,0.25710913018605325,1.0,0.25759464894080275,1.0,0.25666666666666665,1.0,1.0
