,fit_time,score_time,estimator,test_f1_macro,train_f1_macro,test_precision_macro,train_precision_macro,test_recall_macro,train_recall_macro,test_accuracy,train_accuracy,training_accuracy
Fold 1,0.004575967788696289,0.042617082595825195,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.996332499810563,1.0,0.9952380952380953,1.0,0.9974999999999999,1.0,0.9966777408637874,1.0,1.0
Fold 2,0.0027430057525634766,0.01770496368408203,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fold 3,0.0027670860290527344,0.01448512077331543,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fold 4,0.004006147384643555,0.013814687728881836,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Fold 5,0.004155158996582031,0.013295888900756836,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
