,fit_time,score_time,estimator,test_f1_macro,train_f1_macro,test_precision_macro,train_precision_macro,test_recall_macro,train_recall_macro,test_accuracy,train_accuracy,training_accuracy
Fold 1,0.009070873260498047,0.04811406135559082,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.3127491237219066,1.0,0.32183849647084944,1.0,0.31698205640513333,1.0,0.3089700996677741,1.0,1.0
Fold 2,0.0028738975524902344,0.015621185302734375,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.34394404748113805,1.0,0.3738542169507876,1.0,0.3403164143548759,1.0,0.3388704318936877,1.0,1.0
Fold 3,0.0028128623962402344,0.015151023864746094,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.3252126912541966,1.0,0.35226107378107857,1.0,0.3350153052076129,1.0,0.33666666666666667,1.0,1.0
Fold 4,0.002823352813720703,0.014752626419067383,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.31075307260199886,1.0,0.3137886937095082,1.0,0.3212502241348395,1.0,0.31666666666666665,1.0,1.0
Fold 5,0.002749919891357422,0.014773845672607422,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.29597217351616567,1.0,0.30183832632927654,1.0,0.30034164553395326,1.0,0.3,1.0,1.0
