,fit_time,score_time,estimator,test_f1_macro,train_f1_macro,test_precision_macro,train_precision_macro,test_recall_macro,train_recall_macro,test_accuracy,train_accuracy,training_accuracy
Fold 1,0.0038182735443115234,0.040123939514160156,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.5877674194646955,1.0,0.6011618126719936,1.0,0.5955525243986782,1.0,0.5946843853820598,1.0,1.0
Fold 2,0.00427699089050293,0.02414703369140625,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.553357596526317,1.0,0.5782914201183431,1.0,0.552273367657983,1.0,0.5548172757475083,1.0,1.0
Fold 3,0.003443002700805664,0.029691219329833984,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.6587860460695734,1.0,0.6755576688268997,1.0,0.6648463715771408,1.0,0.6633333333333333,1.0,1.0
Fold 4,0.002850055694580078,0.01529073715209961,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.5769749505582348,1.0,0.6039368719515777,1.0,0.5830144214759599,1.0,0.5833333333333334,1.0,1.0
Fold 5,0.002866983413696289,0.014713048934936523,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.5949692785278434,1.0,0.6177049822977424,1.0,0.5987499679807372,1.0,0.6033333333333334,1.0,1.0
