,fit_time,score_time,estimator,test_f1_macro,train_f1_macro,test_precision_macro,train_precision_macro,test_recall_macro,train_recall_macro,test_accuracy,train_accuracy,training_accuracy
Fold 1,0.0032460689544677734,0.029392004013061523,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.8703187364837021,1.0,0.8823431561761733,1.0,0.8712622192502311,1.0,0.9036544850498339,1.0,1.0
Fold 2,0.002892017364501953,0.01661992073059082,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.8733309258484825,1.0,0.8741047297297297,1.0,0.8735330350618373,1.0,0.9003322259136213,1.0,1.0
Fold 3,0.002882719039916992,0.013131141662597656,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.8587841900113091,1.0,0.873194468832309,1.0,0.8619854721549638,1.0,0.8966666666666666,1.0,1.0
Fold 4,0.002869129180908203,0.012897968292236328,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.902907922966574,1.0,0.9074172821713805,1.0,0.9015657788539144,1.0,0.9233333333333333,1.0,1.0
Fold 5,0.0027861595153808594,0.015599966049194336,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.893228346456693,1.0,0.8999465240641712,1.0,0.8921549636803874,1.0,0.9166666666666666,1.0,1.0
