,fit_time,score_time,estimator,test_f1_macro,train_f1_macro,test_precision_macro,train_precision_macro,test_recall_macro,train_recall_macro,test_accuracy,train_accuracy,training_accuracy
Fold 1,0.003882169723510742,1.4871609210968018,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.2513380251609592,1.0,0.25589219878187486,1.0,0.25385127692820003,1.0,0.25249169435215946,1.0,1.0
Fold 2,0.0031859874725341797,0.015640974044799805,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.2192038157875897,1.0,0.21754332526203676,1.0,0.23043046696892852,1.0,0.23255813953488372,1.0,1.0
Fold 3,0.0050811767578125,0.05090188980102539,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.26702001208488596,1.0,0.2702426453438599,1.0,0.2743564128179513,1.0,0.27666666666666667,1.0,1.0
Fold 4,0.004335880279541016,0.019042015075683594,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.24124763836566332,1.0,0.24465371543991454,1.0,0.24936761955992726,1.0,0.24666666666666667,1.0,1.0
Fold 5,0.0031948089599609375,0.014168024063110352,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.24947778441361784,1.0,0.2548002469203946,1.0,0.25118439253054636,1.0,0.25,1.0,1.0
