,fit_time,score_time,estimator,test_f1_macro,train_f1_macro,test_precision_macro,train_precision_macro,test_recall_macro,train_recall_macro,test_accuracy,train_accuracy,training_accuracy
Fold 1,0.003715038299560547,0.03508591651916504,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.7648258739679872,1.0,0.7729086139848852,1.0,0.7755625680762178,1.0,0.8239202657807309,1.0,1.0
Fold 2,0.003256082534790039,0.01392984390258789,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.8062538153510124,1.0,0.8195647370746796,1.0,0.8093493637027948,1.0,0.8504983388704319,1.0,1.0
Fold 3,0.0048067569732666016,0.017942190170288086,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.8148069268257261,1.0,0.8539855810902616,1.0,0.8215092816787731,1.0,0.8633333333333333,1.0,1.0
Fold 4,0.005873918533325195,0.020572185516357422,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.8299464302886198,1.0,0.8653879781420765,1.0,0.8305569007263923,1.0,0.8666666666666667,1.0,1.0
Fold 5,0.0029909610748291016,0.014991998672485352,"KNeighborsClassifier(n_jobs=4, n_neighbors=9, weights='distance')",0.7863225323853117,1.0,0.8105180748213536,1.0,0.7913397901533494,1.0,0.8333333333333334,1.0,1.0
